timestamp,PSARl_0.03_0.2,PSARs_0.03_0.2,PSARaf_0.03_0.2,PSARr_0.03_0.2
2023-12-31 09:05:00,42386.361594,,0.06,0
2023-12-31 09:10:00,42399.17989836,,0.09,0
2023-12-31 09:15:00,42420.8537075076,,0.12,0
2023-12-31 09:20:00,42454.34646260669,,0.15,0
2023-12-31 09:25:00,42502.74449321569,,0.18,0
2023-12-31 09:30:00,42553.55048443686,,0.2,0
2023-12-31 09:35:00,42602.64038754949,,0.2,0
2023-12-31 09:40:00,42641.91231003959,,0.2,0
2023-12-31 09:45:00,42679.52984803167,,0.2,0
2023-12-31 09:50:00,,42899.0,0.03,1
2023-12-31 09:55:00,,42899.0,0.06,0
2023-12-31 10:00:00,,42885.9686,0.06,0
2023-12-31 10:05:00,,42873.719084,0.06,0
2023-12-31 10:10:00,,42862.204538959995,0.06,0
2023-12-31 10:15:00,,42851.38086662239,0.09,0
2023-12-31 10:20:00,,42833.50768862638,0.12,0
2023-12-31 10:25:00,,42811.48796599121,0.15,0
2023-12-31 10:30:00,,42782.44527109253,0.15,0
2023-12-31 10:35:00,,42757.758980428654,0.15,0
2023-12-31 10:40:00,,42736.775633364356,0.15,0
2023-12-31 10:45:00,,42727.27,0.15,0
2023-12-31 10:50:00,,42725.64,0.15,0
2023-12-31 10:55:00,,42714.68,0.15,0
2023-12-31 11:00:00,,42702.63,0.15,0
2023-12-31 11:05:00,,42702.63,0.18,0
2023-12-31 11:10:00,,42684.0,0.2,0
2023-12-31 11:15:00,,42681.1,0.2,0
2023-12-31 11:20:00,,42663.896,0.2,0
2023-12-31 11:25:00,,42650.1328,0.2,0
2023-12-31 11:30:00,,42648.0,0.2,0
2023-12-31 11:35:00,,42632.16,0.2,0
2023-12-31 11:40:00,,42619.488000000005,0.2,0
2023-12-31 11:45:00,,42615.0,0.2,0
2023-12-31 11:50:00,,42595.482,0.2,0
2023-12-31 11:55:00,,42577.585600000006,0.2,0
2023-12-31 12:00:00,,42563.268480000006,0.2,0
2023-12-31 12:05:00,42464.87,,0.03,1
2023-12-31 12:10:00,42464.87,,0.03,0
2023-12-31 12:15:00,42464.87,,0.06,0
2023-12-31 12:20:00,42473.217800000006,,0.09,0
2023-12-31 12:25:00,42486.31479800001,,0.09,0
2023-12-31 12:30:00,42498.23306618001,,0.12,0
2023-12-31 12:35:00,42515.99749823841,,0.12,0
2023-12-31 12:40:00,42531.6301984498,,0.12,0
2023-12-31 12:45:00,,42646.27,0.03,1
2023-12-31 12:50:00,,42642.5842,0.06,0
2023-12-31 12:55:00,,42628.329148,0.09,0
2023-12-31 13:00:00,,42603.52792468,0.09,0
2023-12-31 13:05:00,,42580.9588114588,0.09,0
2023-12-31 13:10:00,,42560.4209184275,0.09,0
2023-12-31 13:15:00,,42541.73143576903,0.09,0
2023-12-31 13:20:00,42352.76,,0.03,1
2023-12-31 13:25:00,42358.3436,,0.03,0
2023-12-31 13:30:00,42363.759692,,0.03,0
2023-12-31 13:35:00,42369.01330124,,0.03,0
2023-12-31 13:40:00,42374.1093022028,,0.03,0
2023-12-31 13:45:00,42379.052423136716,,0.03,0
2023-12-31 13:50:00,42383.84725044262,,0.03,0
2023-12-31 13:55:00,42388.49823292934,,0.03,0
2023-12-31 14:00:00,42393.00968594146,,0.03,0
2023-12-31 14:05:00,42397.38579536322,,0.03,0
2023-12-31 14:10:00,42401.63062150232,,0.03,0
2023-12-31 14:15:00,42405.74810285725,,0.03,0
2023-12-31 14:20:00,,42538.88,0.03,1
2023-12-31 14:25:00,,42534.9857,0.03,0
2023-12-31 14:30:00,,42531.208228999996,0.03,0
2023-12-31 14:35:00,,42527.54408213,0.03,0
2023-12-31 14:40:00,42409.07,,0.03,1
2023-12-31 14:45:00,42412.5719,,0.06,0
2023-12-31 14:50:00,42419.399186,,0.09,0
2023-12-31 14:55:00,42430.50975926,,0.09,0
2023-12-31 15:00:00,42440.6203809266,,0.12,0
2023-12-31 15:05:00,42457.34593521541,,0.15,0
2023-12-31 15:10:00,42477.4090449331,,0.15,0
2023-12-31 15:15:00,42494.46268819313,,0.18,0
2023-12-31 15:20:00,42512.56120431837,,0.18,0
2023-12-31 15:25:00,,42595.01,0.03,1
2023-12-31 15:30:00,,42590.659700000004,0.06,0
2023-12-31 15:35:00,,42576.886118,0.06,0
2023-12-31 15:40:00,,42563.938950920005,0.06,0
2023-12-31 15:45:00,,42551.768613864806,0.06,0
2023-12-31 15:50:00,,42540.32849703292,0.06,0
2023-12-31 15:55:00,,42529.57478721094,0.06,0
2023-12-31 16:00:00,,42519.46629997829,0.06,0
2023-12-31 16:05:00,,42509.96432197959,0.06,0
2023-12-31 16:10:00,42361.1,,0.03,1
2023-12-31 16:15:00,42367.0148,,0.06,0
2023-12-31 16:20:00,42380.549311999996,,0.06,0
2023-12-31 16:25:00,42393.271753279994,,0.06,0
2023-12-31 16:30:00,42405.23084808319,,0.09,0
2023-12-31 16:35:00,42423.48187175571,,0.12,0
2023-12-31 16:40:00,42448.87004714502,,0.15,0
2023-12-31 16:45:00,42482.33804007327,,0.18,0
2023-12-31 16:50:00,42521.51719286008,,0.18,0
2023-12-31 16:55:00,42553.64409814527,,0.18,0
2023-12-31 17:00:00,,42700.0,0.03,1
2023-12-31 17:05:00,,42696.1828,0.03,0
2023-12-31 17:10:00,,42692.480116,0.03,0
2023-12-31 17:15:00,,42688.888512519996,0.03,0
2023-12-31 17:20:00,,42685.4046571444,0.03,0
2023-12-31 17:25:00,,42682.02531743007,0.06,0
2023-12-31 17:30:00,,42671.346198384264,0.09,0
2023-12-31 17:35:00,,42653.45004052968,0.09,0
2023-12-31 17:40:00,,42637.16453688201,0.09,0
2023-12-31 17:45:00,42472.5,,0.03,1
2023-12-31 17:50:00,42478.1106,,0.03,0
2023-12-31 17:55:00,42483.552881999996,,0.03,0
2023-12-31 18:00:00,42488.831895539995,,0.03,0
2023-12-31 18:05:00,42493.952538673795,,0.03,0
2023-12-31 18:10:00,42498.91956251358,,0.03,0
2023-12-31 18:15:00,42503.73757563817,,0.03,0
2023-12-31 18:20:00,42508.41104836903,,0.03,0
2023-12-31 18:25:00,42512.94431691796,,0.03,0
2023-12-31 18:30:00,42517.34158741042,,0.03,0
2023-12-31 18:35:00,42521.60693978811,,0.06,0
